image ID,class
1,2
2,2
3,1
4,1
5,1
6,1
7,4
8,2
9,2
10,2
11,3
12,3
13,2
14,2
15,2
16,3
17,3
18,3
19,1
20,1
21,1
22,3
23,2
24,4
25,1
26,1
27,1
28,1
29,1
30,1
31,3
32,2
33,2
34,2
35,3
36,3
37,3
38,2
39,2
40,2
41,3
42,3
43,1
44,1
45,3
46,3
47,3
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,1
65,1
66,1
67,2
68,2
69,1
70,1
71,1
72,4
73,4
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,4
85,4
86,4
87,4
88,5
89,5
90,5
91,2
92,2
93,2
94,2
95,4
96,4
97,4
98,4
99,1
100,1
